序号,纬度,经度,速度,车辆状态,设备序列号,时间
423,31.21628,121.376258,60,1,A0112,2021.03.23 8:35:10
424,31.21628,121.376258,60,1,A0113,2021.03.23 8:35:10
425,31.216278,121.376258,60,1,A0112,2021.03.23 8:35:20
426,31.216278,121.376258,60,1,A0113,2021.03.23 8:35:20
427,31.216278,121.376265,60,1,A0112,2021.03.23 8:35:30
428,31.216278,121.376265,60,1,A0113,2021.03.23 8:35:30
429,31.216278,121.376265,60,1,A0112,2021.03.23 8:35:40
430,31.216278,121.376265,60,1,A0113,2021.03.23 8:35:40
431,31.216275,121.376265,60,1,A0112,2021.03.23 8:35:50
432,31.216275,121.376265,60,1,A0113,2021.03.23 8:35:50
433,31.216275,121.376263,60,1,A0112,2021.03.23 8:36:00
434,31.216275,121.376263,60,1,A0113,2021.03.23 8:36:00
435,31.216282,121.376257,60,1,A0112,2021.03.23 8:36:10
436,31.216282,121.376257,60,1,A0113,2021.03.23 8:36:10
437,31.216285,121.376255,60,1,A0112,2021.03.23 8:36:20
438,31.216285,121.376255,60,1,A0113,2021.03.23 8:36:20
439,31.216292,121.376248,60,1,A0112,2021.03.23 8:36:30
440,31.216292,121.376248,60,1,A0113,2021.03.23 8:36:30
441,31.216292,121.376248,60,1,A0112,2021.03.23 8:36:40
442,31.216292,121.376248,60,1,A0113,2021.03.23 8:36:40
443,31.216295,121.376245,60,1,A0112,2021.03.23 8:36:50
444,31.216295,121.376245,60,1,A0113,2021.03.23 8:36:50
445,31.216297,121.376245,60,1,A0112,2021.03.23 8:37:00
446,31.216297,121.376245,60,1,A0113,2021.03.23 8:37:00
447,31.216298,121.376245,60,1,A0112,2021.03.23 8:37:10
448,31.216298,121.376245,60,1,A0113,2021.03.23 8:37:10
449,31.216298,121.376245,60,1,A0112,2021.03.23 8:37:20
450,31.216298,121.376245,60,1,A0113,2021.03.23 8:37:20
451,31.216298,121.376247,60,1,A0112,2021.03.23 8:37:30
452,31.216298,121.376247,60,1,A0113,2021.03.23 8:37:30
453,31.216297,121.376247,60,1,A0112,2021.03.23 8:37:40
454,31.216297,121.376247,60,1,A0113,2021.03.23 8:37:40
455,31.216297,121.376243,60,1,A0112,2021.03.23 8:37:50
456,31.216297,121.376243,60,1,A0113,2021.03.23 8:37:50
457,31.216297,121.376243,60,1,A0112,2021.03.23 8:38:00
458,31.216297,121.376243,60,1,A0113,2021.03.23 8:38:00
459,31.216297,121.37624,60,1,A0112,2021.03.23 8:38:10
460,31.216297,121.37624,60,1,A0113,2021.03.23 8:38:10
461,31.216298,121.376238,60,1,A0112,2021.03.23 8:38:20
462,31.216298,121.376238,60,1,A0113,2021.03.23 8:38:20
463,31.2163,121.376238,60,1,A0112,2021.03.23 8:38:30
464,31.2163,121.376238,60,1,A0113,2021.03.23 8:38:30
465,31.216298,121.376243,60,1,A0112,2021.03.23 8:38:40
466,31.216298,121.376243,60,1,A0113,2021.03.23 8:38:40
467,31.216293,121.376247,60,1,A0112,2021.03.23 8:38:50
468,31.216293,121.376247,60,1,A0113,2021.03.23 8:38:50
469,31.216347,121.37623,60,1,A0112,2021.03.23 8:39:00
470,31.216347,121.37623,60,1,A0113,2021.03.23 8:39:00
471,31.216478,121.37612,60,1,A0112,2021.03.23 8:39:10
472,31.216478,121.37612,60,1,A0113,2021.03.23 8:39:10
473,31.216518,121.37611,60,1,A0112,2021.03.23 8:39:20
474,31.216518,121.37611,60,1,A0113,2021.03.23 8:39:20
475,31.21657,121.37611,60,1,A0112,2021.03.23 8:39:30
476,31.21657,121.37611,60,1,A0113,2021.03.23 8:39:30
477,31.217243,121.376178,60,1,A0112,2021.03.23 8:39:40
478,31.217243,121.376178,60,1,A0113,2021.03.23 8:39:40
479,31.217497,121.376222,60,1,A0112,2021.03.23 8:39:50
480,31.217497,121.376222,60,1,A0113,2021.03.23 8:39:50
481,31.217548,121.37626,60,1,A0112,2021.03.23 8:40:00
482,31.217548,121.37626,60,1,A0113,2021.03.23 8:40:00
483,31.217568,121.376285,60,1,A0112,2021.03.23 8:40:10
484,31.217568,121.376285,60,1,A0113,2021.03.23 8:40:10
485,31.2176,121.376355,60,1,A0112,2021.03.23 8:40:20
486,31.2176,121.376355,60,1,A0113,2021.03.23 8:40:20
487,31.217505,121.377488,60,1,A0112,2021.03.23 8:40:30
488,31.217505,121.377488,60,1,A0113,2021.03.23 8:40:30
489,31.21742,121.37852,60,1,A0112,2021.03.23 8:40:40
490,31.21742,121.37852,60,1,A0113,2021.03.23 8:40:40
491,31.217327,121.37935,60,1,A0112,2021.03.23 8:40:50
492,31.217327,121.37935,60,1,A0113,2021.03.23 8:40:50
493,31.217182,121.380068,60,1,A0112,2021.03.23 8:41:00
494,31.217182,121.380068,60,1,A0113,2021.03.23 8:41:00
495,31.217143,121.38029,60,1,A0112,2021.03.23 8:41:10
496,31.217143,121.38029,60,1,A0113,2021.03.23 8:41:10
497,31.217135,121.38028,60,1,A0112,2021.03.23 8:41:20
498,31.217135,121.38028,60,1,A0113,2021.03.23 8:41:20
499,31.217132,121.380288,60,1,A0112,2021.03.23 8:41:30
500,31.217132,121.380288,60,1,A0113,2021.03.23 8:41:30
501,31.217135,121.380293,60,1,A0112,2021.03.23 8:41:40
502,31.217135,121.380293,60,1,A0113,2021.03.23 8:41:40
503,31.21714,121.380295,60,1,A0112,2021.03.23 8:41:50
504,31.21714,121.380295,60,1,A0113,2021.03.23 8:41:50
505,31.217142,121.380298,60,1,A0112,2021.03.23 8:42:00
506,31.217142,121.380298,60,1,A0113,2021.03.23 8:42:00
507,31.217155,121.380298,60,1,A0112,2021.03.23 8:42:10
508,31.217155,121.380298,60,1,A0113,2021.03.23 8:42:10
509,31.217163,121.380297,60,1,A0112,2021.03.23 8:42:20
510,31.217163,121.380297,60,1,A0113,2021.03.23 8:42:20
511,31.21717,121.380302,60,1,A0112,2021.03.23 8:42:30
512,31.21717,121.380302,60,1,A0113,2021.03.23 8:42:30
513,31.217135,121.380458,60,1,A0112,2021.03.23 8:42:40
514,31.217135,121.380458,60,1,A0113,2021.03.23 8:42:40
515,31.216928,121.381243,60,1,A0112,2021.03.23 8:42:50
516,31.216928,121.381243,60,1,A0113,2021.03.23 8:42:50
517,31.216742,121.382035,60,1,A0112,2021.03.23 8:43:00
518,31.216742,121.382035,60,1,A0113,2021.03.23 8:43:00
519,31.216612,121.382462,60,1,A0112,2021.03.23 8:43:10
520,31.216612,121.382462,60,1,A0113,2021.03.23 8:43:10
521,31.216612,121.382487,60,1,A0112,2021.03.23 8:43:20
522,31.216612,121.382487,60,1,A0113,2021.03.23 8:43:20
523,31.216625,121.382588,60,1,A0112,2021.03.23 8:43:30
524,31.216625,121.382588,60,1,A0113,2021.03.23 8:43:30
525,31.216398,121.38357,60,1,A0112,2021.03.23 8:43:40
526,31.216398,121.38357,60,1,A0113,2021.03.23 8:43:40
527,31.216237,121.384318,60,1,A0112,2021.03.23 8:43:50
528,31.216237,121.384318,60,1,A0113,2021.03.23 8:43:50
529,31.215998,121.38545,60,1,A0112,2021.03.23 8:44:00
530,31.215998,121.38545,60,1,A0113,2021.03.23 8:44:00
531,31.215765,121.386462,60,1,A0112,2021.03.23 8:44:10
532,31.215765,121.386462,60,1,A0113,2021.03.23 8:44:10
533,31.215627,121.387188,60,1,A0112,2021.03.23 8:44:20
534,31.215627,121.387188,60,1,A0113,2021.03.23 8:44:20
535,31.215458,121.388037,60,1,A0112,2021.03.23 8:44:30
536,31.215458,121.388037,60,1,A0113,2021.03.23 8:44:30
537,31.215322,121.38851,60,1,A0112,2021.03.23 8:44:40
538,31.215322,121.38851,60,1,A0113,2021.03.23 8:44:40
539,31.215295,121.388623,60,1,A0112,2021.03.23 8:44:50
540,31.215295,121.388623,60,1,A0113,2021.03.23 8:44:50
541,31.215272,121.388687,60,1,A0112,2021.03.23 8:45:00
542,31.215272,121.388687,60,1,A0113,2021.03.23 8:45:00
543,31.215187,121.389313,60,1,A0112,2021.03.23 8:45:10
544,31.215187,121.389313,60,1,A0113,2021.03.23 8:45:10
545,31.214957,121.39038,60,1,A0112,2021.03.23 8:45:20
546,31.214957,121.39038,60,1,A0113,2021.03.23 8:45:20
547,31.21481,121.391045,60,1,A0112,2021.03.23 8:45:30
548,31.21481,121.391045,60,1,A0113,2021.03.23 8:45:30
549,31.214568,121.392015,60,1,A0112,2021.03.23 8:45:40
550,31.214568,121.392015,60,1,A0113,2021.03.23 8:45:40
551,31.214357,121.392932,60,1,A0112,2021.03.23 8:45:50
552,31.214357,121.392932,60,1,A0113,2021.03.23 8:45:50
553,31.214155,121.39371,60,1,A0112,2021.03.23 8:46:00
554,31.214155,121.39371,60,1,A0113,2021.03.23 8:46:00
555,31.214088,121.393973,60,1,A0112,2021.03.23 8:46:10
556,31.214088,121.393973,60,1,A0113,2021.03.23 8:46:10
557,31.21398,121.394345,60,1,A0112,2021.03.23 8:46:20
558,31.21398,121.394345,60,1,A0113,2021.03.23 8:46:20
559,31.2138,121.394963,60,1,A0112,2021.03.23 8:46:30
560,31.2138,121.394963,60,1,A0113,2021.03.23 8:46:30
561,31.213563,121.395595,60,1,A0112,2021.03.23 8:46:40
562,31.213563,121.395595,60,1,A0113,2021.03.23 8:46:40
563,31.213352,121.396333,60,1,A0112,2021.03.23 8:46:50
564,31.213352,121.396333,60,1,A0113,2021.03.23 8:46:50
565,31.213232,121.39705,60,1,A0112,2021.03.23 8:47:00
566,31.213232,121.39705,60,1,A0113,2021.03.23 8:47:00
567,31.213188,121.397482,60,1,A0112,2021.03.23 8:47:10
568,31.213188,121.397482,60,1,A0113,2021.03.23 8:47:10
569,31.213103,121.397777,60,1,A0112,2021.03.23 8:47:20
570,31.213103,121.397777,60,1,A0113,2021.03.23 8:47:20
571,31.21305,121.397968,60,1,A0112,2021.03.23 8:47:30
572,31.21305,121.397968,60,1,A0113,2021.03.23 8:47:30
573,31.213002,121.3981,60,1,A0112,2021.03.23 8:47:40
574,31.213002,121.3981,60,1,A0113,2021.03.23 8:47:40
575,31.212968,121.398293,60,1,A0112,2021.03.23 8:47:50
576,31.212968,121.398293,60,1,A0113,2021.03.23 8:47:50
577,31.212875,121.398915,60,1,A0112,2021.03.23 8:48:00
578,31.212875,121.398915,60,1,A0113,2021.03.23 8:48:00
579,31.212845,121.399063,60,1,A0112,2021.03.23 8:48:10
580,31.212845,121.399063,60,1,A0113,2021.03.23 8:48:10
581,31.21281,121.3993,60,1,A0112,2021.03.23 8:48:20
582,31.21281,121.3993,60,1,A0113,2021.03.23 8:48:20
583,31.212695,121.400097,60,1,A0112,2021.03.23 8:48:30
584,31.212695,121.400097,60,1,A0113,2021.03.23 8:48:30
585,31.212557,121.401035,60,1,A0112,2021.03.23 8:48:40
586,31.212557,121.401035,60,1,A0113,2021.03.23 8:48:40
587,31.212432,121.402063,60,1,A0112,2021.03.23 8:48:50
588,31.212432,121.402063,60,1,A0113,2021.03.23 8:48:50
589,31.212363,121.402572,60,1,A0112,2021.03.23 8:49:00
590,31.212363,121.402572,60,1,A0113,2021.03.23 8:49:00
591,31.212355,121.402623,60,1,A0112,2021.03.23 8:49:10
592,31.212355,121.402623,60,1,A0113,2021.03.23 8:49:10
593,31.212357,121.402617,60,1,A0112,2021.03.23 8:49:20
594,31.212357,121.402617,60,1,A0113,2021.03.23 8:49:20
595,31.212353,121.402607,60,1,A0112,2021.03.23 8:49:30
596,31.212353,121.402607,60,1,A0113,2021.03.23 8:49:30
597,31.212355,121.402598,60,1,A0112,2021.03.23 8:49:40
598,31.212355,121.402598,60,1,A0113,2021.03.23 8:49:40
599,31.21236,121.402607,60,1,A0112,2021.03.23 8:49:50
600,31.21236,121.402607,60,1,A0113,2021.03.23 8:49:50
601,31.212362,121.402608,60,1,A0112,2021.03.23 8:50:00
602,31.212362,121.402608,60,1,A0113,2021.03.23 8:50:00
603,31.212362,121.402603,60,1,A0112,2021.03.23 8:50:10
604,31.212362,121.402603,60,1,A0113,2021.03.23 8:50:10
605,31.212365,121.402603,60,1,A0112,2021.03.23 8:50:20
606,31.212365,121.402603,60,1,A0113,2021.03.23 8:50:20
607,31.2123,121.402912,60,1,A0112,2021.03.23 8:50:30
608,31.2123,121.402912,60,1,A0113,2021.03.23 8:50:30
609,31.212067,121.40389,60,1,A0112,2021.03.23 8:50:40
610,31.212067,121.40389,60,1,A0113,2021.03.23 8:50:40
611,31.211792,121.404957,60,1,A0112,2021.03.23 8:50:50
612,31.211792,121.404957,60,1,A0113,2021.03.23 8:50:50
613,31.211532,121.40588,60,1,A0112,2021.03.23 8:51:00
614,31.211532,121.40588,60,1,A0113,2021.03.23 8:51:00
615,31.21148,121.406078,60,1,A0112,2021.03.23 8:51:10
616,31.21148,121.406078,60,1,A0113,2021.03.23 8:51:10
617,31.21146,121.406263,60,1,A0112,2021.03.23 8:51:20
618,31.21146,121.406263,60,1,A0113,2021.03.23 8:51:20
619,31.211385,121.406597,60,1,A0112,2021.03.23 8:51:30
620,31.211385,121.406597,60,1,A0113,2021.03.23 8:51:30
621,31.211095,121.407363,60,1,A0112,2021.03.23 8:51:40
622,31.211095,121.407363,60,1,A0113,2021.03.23 8:51:40
623,31.211042,121.407472,60,1,A0112,2021.03.23 8:51:50
624,31.211042,121.407472,60,1,A0113,2021.03.23 8:51:50
625,31.21101,121.407517,60,1,A0112,2021.03.23 8:52:00
626,31.21101,121.407517,60,1,A0113,2021.03.23 8:52:00
627,31.210912,121.407725,60,1,A0112,2021.03.23 8:52:10
628,31.210912,121.407725,60,1,A0113,2021.03.23 8:52:10
629,31.210485,121.40889,60,1,A0112,2021.03.23 8:52:20
630,31.210485,121.40889,60,1,A0113,2021.03.23 8:52:20
631,31.210178,121.409472,60,1,A0112,2021.03.23 8:52:30
632,31.210178,121.409472,60,1,A0113,2021.03.23 8:52:30
633,31.209925,121.409815,60,1,A0112,2021.03.23 8:52:40
634,31.209925,121.409815,60,1,A0113,2021.03.23 8:52:40
635,31.20991,121.409837,60,1,A0112,2021.03.23 8:52:50
636,31.20991,121.409837,60,1,A0113,2021.03.23 8:52:50
637,31.209915,121.409835,60,1,A0112,2021.03.23 8:53:00
638,31.209915,121.409835,60,1,A0113,2021.03.23 8:53:00
639,31.209922,121.409832,60,1,A0112,2021.03.23 8:53:10
640,31.209922,121.409832,60,1,A0113,2021.03.23 8:53:10
641,31.209923,121.409838,60,1,A0112,2021.03.23 8:53:20
642,31.209923,121.409838,60,1,A0113,2021.03.23 8:53:20
643,31.209922,121.409845,60,1,A0112,2021.03.23 8:53:30
644,31.209922,121.409845,60,1,A0113,2021.03.23 8:53:30
645,31.20992,121.40985,60,1,A0112,2021.03.23 8:53:40
646,31.20992,121.40985,60,1,A0113,2021.03.23 8:53:40
647,31.209917,121.409855,60,1,A0112,2021.03.23 8:53:50
648,31.209917,121.409855,60,1,A0113,2021.03.23 8:53:50
649,31.209915,121.409862,60,1,A0112,2021.03.23 8:54:00
650,31.209915,121.409862,60,1,A0113,2021.03.23 8:54:00
651,31.209897,121.409893,60,1,A0112,2021.03.23 8:54:10
652,31.209897,121.409893,60,1,A0113,2021.03.23 8:54:10
653,31.209627,121.410277,60,1,A0112,2021.03.23 8:54:20
654,31.209627,121.410277,60,1,A0113,2021.03.23 8:54:20
655,31.209615,121.410365,60,1,A0112,2021.03.23 8:54:30
656,31.209615,121.410365,60,1,A0113,2021.03.23 8:54:30
657,31.209765,121.410958,60,1,A0112,2021.03.23 8:54:40
658,31.209765,121.410958,60,1,A0113,2021.03.23 8:54:40
659,31.209788,121.411018,60,1,A0112,2021.03.23 8:54:50
660,31.209788,121.411018,60,1,A0113,2021.03.23 8:54:50
661,31.209803,121.411138,60,1,A0112,2021.03.23 8:55:00
662,31.209803,121.411138,60,1,A0113,2021.03.23 8:55:00
663,31.209798,121.41124,60,1,A0112,2021.03.23 8:55:10
664,31.209798,121.41124,60,1,A0113,2021.03.23 8:55:10
665,31.209803,121.41127,60,1,A0112,2021.03.23 8:55:20
666,31.209803,121.41127,60,1,A0113,2021.03.23 8:55:20
667,31.209765,121.411332,60,1,A0112,2021.03.23 8:55:30
668,31.209765,121.411332,60,1,A0113,2021.03.23 8:55:30
669,31.209743,121.411342,60,1,A0112,2021.03.23 8:55:40
670,31.209743,121.411342,60,1,A0113,2021.03.23 8:55:40
671,31.209793,121.411623,60,1,A0112,2021.03.23 8:55:50
672,31.209793,121.411623,60,1,A0113,2021.03.23 8:55:50
673,31.209815,121.411733,60,1,A0112,2021.03.23 8:56:00
674,31.209815,121.411733,60,1,A0113,2021.03.23 8:56:00
675,31.209825,121.411763,60,1,A0112,2021.03.23 8:56:10
676,31.209825,121.411763,60,1,A0113,2021.03.23 8:56:10
677,31.209843,121.41179,60,1,A0112,2021.03.23 8:56:20
678,31.209843,121.41179,60,1,A0113,2021.03.23 8:56:20
679,31.209857,121.411818,60,1,A0112,2021.03.23 8:56:30
680,31.209857,121.411818,60,1,A0113,2021.03.23 8:56:30
681,31.209935,121.412048,60,1,A0112,2021.03.23 8:56:40
682,31.209935,121.412048,60,1,A0113,2021.03.23 8:56:40
683,31.2099,121.412107,60,1,A0112,2021.03.23 8:56:50
684,31.2099,121.412107,60,1,A0113,2021.03.23 8:56:50
685,31.209945,121.412148,60,1,A0112,2021.03.23 8:57:00
686,31.209945,121.412148,60,1,A0113,2021.03.23 8:57:00
687,31.209972,121.412197,60,1,A0112,2021.03.23 8:57:10
688,31.209972,121.412197,60,1,A0113,2021.03.23 8:57:10
689,31.210002,121.412303,60,1,A0112,2021.03.23 8:57:20
690,31.210002,121.412303,60,1,A0113,2021.03.23 8:57:20
691,31.209992,121.41239,60,1,A0112,2021.03.23 8:57:30
692,31.209992,121.41239,60,1,A0113,2021.03.23 8:57:30
693,31.210037,121.41257,60,1,A0112,2021.03.23 8:57:40
694,31.210037,121.41257,60,1,A0113,2021.03.23 8:57:40
695,31.21005,121.41266,60,1,A0112,2021.03.23 8:57:50
696,31.21005,121.41266,60,1,A0113,2021.03.23 8:57:50
697,31.210105,121.412827,60,1,A0112,2021.03.23 8:58:00
698,31.210105,121.412827,60,1,A0113,2021.03.23 8:58:00
699,31.210142,121.41329,60,1,A0112,2021.03.23 8:58:10
700,31.210142,121.41329,60,1,A0113,2021.03.23 8:58:10
701,31.210313,121.414225,60,1,A0112,2021.03.23 8:58:20
702,31.210313,121.414225,60,1,A0113,2021.03.23 8:58:20
703,31.210313,121.414225,60,1,A0112,2021.03.23 8:58:30
704,31.210313,121.414225,60,1,A0113,2021.03.23 8:58:30
705,31.210293,121.414488,60,1,A0112,2021.03.23 8:58:40
706,31.210293,121.414488,60,1,A0113,2021.03.23 8:58:40
707,31.210345,121.414763,60,1,A0112,2021.03.23 8:58:50
708,31.210345,121.414763,60,1,A0113,2021.03.23 8:58:50
709,31.210363,121.414877,60,1,A0112,2021.03.23 8:59:00
710,31.210363,121.414877,60,1,A0113,2021.03.23 8:59:00
711,31.210362,121.415098,60,1,A0112,2021.03.23 8:59:10
712,31.210362,121.415098,60,1,A0113,2021.03.23 8:59:10
713,31.210415,121.415392,60,1,A0112,2021.03.23 8:59:20
714,31.210415,121.415392,60,1,A0113,2021.03.23 8:59:20
715,31.210488,121.41585,60,1,A0112,2021.03.23 8:59:30
716,31.210488,121.41585,60,1,A0113,2021.03.23 8:59:30
717,31.210543,121.41598,60,1,A0112,2021.03.23 8:59:40
718,31.210543,121.41598,60,1,A0113,2021.03.23 8:59:40
719,31.210568,121.416018,60,1,A0112,2021.03.23 8:59:50
720,31.210568,121.416018,60,1,A0113,2021.03.23 8:59:50
721,31.210595,121.416032,60,1,A0112,2021.03.23 9:00:00
722,31.210595,121.416032,60,1,A0113,2021.03.23 9:00:00
723,31.210618,121.416072,60,1,A0112,2021.03.23 9:00:10
724,31.210618,121.416072,60,1,A0113,2021.03.23 9:00:10
725,31.210637,121.416238,60,1,A0112,2021.03.23 9:00:20
726,31.210637,121.416238,60,1,A0113,2021.03.23 9:00:20
727,31.210688,121.416335,60,1,A0112,2021.03.23 9:00:30
728,31.210688,121.416335,60,1,A0113,2021.03.23 9:00:30
729,31.210695,121.416417,60,1,A0112,2021.03.23 9:00:40
730,31.210695,121.416417,60,1,A0113,2021.03.23 9:00:40
731,31.21071,121.416445,60,1,A0112,2021.03.23 9:00:50
732,31.21071,121.416445,60,1,A0113,2021.03.23 9:00:50
733,31.210712,121.416613,60,1,A0112,2021.03.23 9:01:00
734,31.210712,121.416613,60,1,A0113,2021.03.23 9:01:00
735,31.210752,121.416658,60,1,A0112,2021.03.23 9:01:10
736,31.210752,121.416658,60,1,A0113,2021.03.23 9:01:10
737,31.21069,121.416963,60,1,A0112,2021.03.23 9:01:20
738,31.21069,121.416963,60,1,A0113,2021.03.23 9:01:20
739,31.210743,121.417105,60,1,A0112,2021.03.23 9:01:30
740,31.210743,121.417105,60,1,A0113,2021.03.23 9:01:30
741,31.210782,121.417202,60,1,A0112,2021.03.23 9:01:40
742,31.210782,121.417202,60,1,A0113,2021.03.23 9:01:40
743,31.210792,121.417305,60,1,A0112,2021.03.23 9:01:50
744,31.210792,121.417305,60,1,A0113,2021.03.23 9:01:50
745,31.211108,121.418248,60,1,A0112,2021.03.23 9:02:00
746,31.211108,121.418248,60,1,A0113,2021.03.23 9:02:00
747,31.21113,121.418518,60,1,A0112,2021.03.23 9:02:10
748,31.21113,121.418518,60,1,A0113,2021.03.23 9:02:10
749,31.21113,121.418617,60,1,A0112,2021.03.23 9:02:20
750,31.21113,121.418617,60,1,A0113,2021.03.23 9:02:20
751,31.21112,121.418675,60,1,A0112,2021.03.23 9:02:30
752,31.21112,121.418675,60,1,A0113,2021.03.23 9:02:30
753,31.211103,121.41871,60,1,A0112,2021.03.23 9:02:40
754,31.211103,121.41871,60,1,A0113,2021.03.23 9:02:40
755,31.211123,121.418865,60,1,A0112,2021.03.23 9:02:50
756,31.211123,121.418865,60,1,A0113,2021.03.23 9:02:50
757,31.211168,121.41877,60,1,A0112,2021.03.23 9:03:00
758,31.211168,121.41877,60,1,A0113,2021.03.23 9:03:00
759,31.211207,121.418403,60,1,A0112,2021.03.23 9:03:10
760,31.211207,121.418403,60,1,A0113,2021.03.23 9:03:10
761,31.211227,121.418262,60,1,A0112,2021.03.23 9:03:20
762,31.211227,121.418262,60,1,A0113,2021.03.23 9:03:20
763,31.211337,121.418012,60,1,A0112,2021.03.23 9:03:30
764,31.211337,121.418012,60,1,A0113,2021.03.23 9:03:30
765,31.211373,121.417877,60,1,A0112,2021.03.23 9:03:40
766,31.211373,121.417877,60,1,A0113,2021.03.23 9:03:40
767,31.211377,121.417797,60,1,A0112,2021.03.23 9:03:50
768,31.211377,121.417797,60,1,A0113,2021.03.23 9:03:50
769,31.211363,121.417687,60,1,A0112,2021.03.23 9:04:00
770,31.211363,121.417687,60,1,A0113,2021.03.23 9:04:00
771,31.211375,121.417578,60,1,A0112,2021.03.23 9:04:10
772,31.211375,121.417578,60,1,A0113,2021.03.23 9:04:10
773,31.21132,121.416797,60,1,A0112,2021.03.23 9:04:20
774,31.21132,121.416797,60,1,A0113,2021.03.23 9:04:20
775,31.211277,121.416592,60,1,A0112,2021.03.23 9:04:30
776,31.211277,121.416592,60,1,A0113,2021.03.23 9:04:30
777,31.211142,121.415617,60,1,A0112,2021.03.23 9:04:40
778,31.211142,121.415617,60,1,A0113,2021.03.23 9:04:40
779,31.211112,121.415422,60,1,A0112,2021.03.23 9:04:50
780,31.211112,121.415422,60,1,A0113,2021.03.23 9:04:50
781,31.210903,121.414605,60,1,A0112,2021.03.23 9:05:00
782,31.210903,121.414605,60,1,A0113,2021.03.23 9:05:00
783,31.210623,121.41369,60,1,A0112,2021.03.23 9:05:10
784,31.210623,121.41369,60,1,A0113,2021.03.23 9:05:10
785,31.210545,121.413452,60,1,A0112,2021.03.23 9:05:20
786,31.210545,121.413452,60,1,A0113,2021.03.23 9:05:20
787,31.210347,121.412593,60,1,A0112,2021.03.23 9:05:30
788,31.210347,121.412593,60,1,A0113,2021.03.23 9:05:30
789,31.210307,121.412378,60,1,A0112,2021.03.23 9:05:40
790,31.210307,121.412378,60,1,A0113,2021.03.23 9:05:40
791,31.210298,121.412223,60,1,A0112,2021.03.23 9:05:50
792,31.210298,121.412223,60,1,A0113,2021.03.23 9:05:50
793,31.210088,121.411175,60,1,A0112,2021.03.23 9:06:00
794,31.210088,121.411175,60,1,A0113,2021.03.23 9:06:00
795,31.210015,121.410863,60,1,A0112,2021.03.23 9:06:10
796,31.210015,121.410863,60,1,A0113,2021.03.23 9:06:10
797,31.209898,121.410257,60,1,A0112,2021.03.23 9:06:20
798,31.209898,121.410257,60,1,A0113,2021.03.23 9:06:20
799,31.209897,121.41014,60,1,A0112,2021.03.23 9:06:30
800,31.209897,121.41014,60,1,A0113,2021.03.23 9:06:30
801,31.209915,121.410075,60,1,A0112,2021.03.23 9:06:40
802,31.209915,121.410075,60,1,A0113,2021.03.23 9:06:40
803,31.210413,121.409432,60,1,A0112,2021.03.23 9:06:50
804,31.210413,121.409432,60,1,A0113,2021.03.23 9:06:50
805,31.210625,121.40907,60,1,A0112,2021.03.23 9:07:00
806,31.210625,121.40907,60,1,A0113,2021.03.23 9:07:00
807,31.21064,121.409022,60,1,A0112,2021.03.23 9:07:10
808,31.21064,121.409022,60,1,A0113,2021.03.23 9:07:10
809,31.21075,121.408678,60,1,A0112,2021.03.23 9:07:20
810,31.21075,121.408678,60,1,A0113,2021.03.23 9:07:20
811,31.21075,121.408678,60,1,A0112,2021.03.23 9:07:30
812,31.21075,121.408678,60,1,A0113,2021.03.23 9:07:30
813,31.210828,121.408443,60,1,A0112,2021.03.23 9:07:40
814,31.210828,121.408443,60,1,A0113,2021.03.23 9:07:40
815,31.21085,121.408373,60,1,A0112,2021.03.23 9:07:50
816,31.21085,121.408373,60,1,A0113,2021.03.23 9:07:50
817,31.210953,121.408093,60,1,A0112,2021.03.23 9:08:00
818,31.210953,121.408093,60,1,A0113,2021.03.23 9:08:00
819,31.21106,121.407778,60,1,A0112,2021.03.23 9:08:10
820,31.21106,121.407778,60,1,A0113,2021.03.23 9:08:10
821,31.21112,121.407663,60,1,A0112,2021.03.23 9:08:20
822,31.21112,121.407663,60,1,A0113,2021.03.23 9:08:20
823,31.211518,121.406472,60,1,A0112,2021.03.23 9:08:30
824,31.211518,121.406472,60,1,A0113,2021.03.23 9:08:30
825,31.2119,121.405067,60,1,A0112,2021.03.23 9:08:40
826,31.2119,121.405067,60,1,A0113,2021.03.23 9:08:40
827,31.212152,121.40411,60,1,A0112,2021.03.23 9:08:50
828,31.212152,121.40411,60,1,A0113,2021.03.23 9:08:50
829,31.212342,121.403462,60,1,A0112,2021.03.23 9:09:00
830,31.212342,121.403462,60,1,A0113,2021.03.23 9:09:00
831,31.212393,121.403285,60,1,A0112,2021.03.23 9:09:10
832,31.212393,121.403285,60,1,A0113,2021.03.23 9:09:10
833,31.212395,121.403273,60,1,A0112,2021.03.23 9:09:20
834,31.212395,121.403273,60,1,A0113,2021.03.23 9:09:20
835,31.212393,121.403263,60,1,A0112,2021.03.23 9:09:30
836,31.212393,121.403263,60,1,A0113,2021.03.23 9:09:30
837,31.212393,121.403257,60,1,A0112,2021.03.23 9:09:40
838,31.212393,121.403257,60,1,A0113,2021.03.23 9:09:40
839,31.212393,121.403252,60,1,A0112,2021.03.23 9:09:50
840,31.212393,121.403252,60,1,A0113,2021.03.23 9:09:50
841,31.212395,121.403247,60,1,A0112,2021.03.23 9:10:00
842,31.212395,121.403247,60,1,A0113,2021.03.23 9:10:00
843,31.212395,121.40324,60,1,A0112,2021.03.23 9:10:10
844,31.212395,121.40324,60,1,A0113,2021.03.23 9:10:10
845,31.212395,121.403238,60,1,A0112,2021.03.23 9:10:20
